Nome do componente,Nome do componente - DDD,Categoria (pasta),Qtd props detectados,Tipo (Modal/Form/Display/...),Usado por (produtos/servicos),Qtd usos,Arquivo,Status DDD,Observacoes
LARGURA_MODAL,,,0,Modal,,0,nucleo-global/Modais/modal-sem-sessoes-global/src/modal-overlay.tsx,,
parsePtBR,,,8,ComponenteDSL,,0,nucleo-global/Modais/modal-tabela-moeda/src/InputMoeda.tsx,,
ModalTabelaMoeda,,,5,Modal,pedido,1,nucleo-global/Modais/modal-tabela-moeda/src/ModalTabelaMoeda.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Modais/modal-tabela-unidades/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Modais/modal-tabela-unidades/demo/src/main.tsx,,
parsePtBR,,,8,ComponenteDSL,,0,nucleo-global/Modais/modal-tabela-unidades/src/InputUnidade.tsx,,
ModalTabelaUnidades,,,5,Modal,,0,nucleo-global/Modais/modal-tabela-unidades/src/ModalTabelaUnidades.tsx,,
defaultPlanoBadgeColor,,,5,ComponenteDSL,,0,nucleo-global/Modais/modal-workspace-inicial-global/src/WorkspaceSelecaoGlobal.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/select-colunas-global/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/select-colunas-global/demo/src/main.tsx,,
IcoLupa,,,9,ComponenteDSL,,0,nucleo-global/Tabelas/select-colunas-global/src/SelectColunasGlobal.tsx,,
IconeChevron,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-camadas-global/src/TabelaCamadasGlobal.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-global/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-global/demo/src/main.tsx,,
handleOrdenar,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-global/src/cabecalho.tsx,,
BadgeCelula,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-global/src/celula.tsx,,
VisibilidadeColunasGlobal,,,9,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-global/src/componentes/VisibilidadeColunasGlobal.tsx,,
PopoverFiltro,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-global/src/tabela.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-virtual-global/demo/src/App.tsx,,
